,names,rating,cuisine types,price,location,url
0,Magique,4.0,"Asian, Continental, North Indian, Italian, Pizza, Desserts, Beverages","₹2,000 for two"," Koramangala 6th Block, Bangalore",https://www.zomato.com/bangalore/magique-koramangala-6th-block-bangalore/info
1,Street 1522,4.4,"North Indian, Asian, Street Food, Mughlai, Continental, Beverages","₹1,100 for two"," Sarjapur Road, Bangalore",https://www.zomato.com/bangalore/street-1522-sarjapur-road-bangalore/info
2,Daysie - All Day Casual Bar,4.4,"North Indian, Asian, Chinese, Italian, Continental, Fast Food, Street Food, Desserts","₹1,300 for two"," MG Road, Bangalore",https://www.zomato.com/bangalore/daysie-all-day-casual-bar-mg-road-bangalore/info
3,Daddy,4.2,"Finger Food, Continental, North Indian, Asian, Beverages","₹1,700 for two"," Indiranagar, Bangalore",https://www.zomato.com/bangalore/daddy-indiranagar-bangalore/info
4,Secret Story,4.0,"Continental, Asian, North Indian, Beverages","₹2,000 for two"," Indiranagar, Bangalore",https://www.zomato.com/bangalore/secret-story-indiranagar-bangalore/info
5,LUPA,3.9,"Mediterranean, European, Italian, Desserts","₹5,000 for two"," MG Road, Bangalore",https://www.zomato.com/bangalore/lupa-mg-road-bangalore/info
6,Miso Sexy,4.3,"Asian, Chinese, Continental, Beverages","₹1,800 for two"," Indiranagar, Bangalore",https://www.zomato.com/bangalore/miso-sexy-indiranagar-bangalore/info
7,Bramble,4.3,"Continental, Asian, North Indian, Italian, Bar Food, Beverages","₹1,800 for two"," Jayanagar, Bangalore",https://www.zomato.com/bangalore/bramble-jayanagar-bangalore/info
8,Foo Brigade Road,New,"Asian, Chinese, Sushi, Desserts, Beverages","₹1,500 for two"," Brigade Road, Bangalore",https://www.zomato.com/bangalore/foo-brigade-road-brigade-road-bangalore/info
9,Gatsby,4.4,"Finger Food, Italian, North Indian, Continental, Asian, Biryani, Desserts, Beverages","₹2,500 for two"," Bannerghatta Road, Bangalore",https://www.zomato.com/bangalore/gatsby-bannerghatta-road-bangalore/info
10,Levels Pub & Kitchen,4.4,"North Indian, Chinese, Mangalorean, Mughlai, Thai, Finger Food, Beverages, Desserts","₹1,700 for two"," JP Nagar, Bangalore",https://www.zomato.com/bangalore/levels-pub-kitchen-jp-nagar-bangalore/info
11,The Reservoire,4.4,"Continental, North Indian, Salad, Asian, Pizza, Mughlai, Burger, Pasta","₹2,000 for two"," Koramangala 5th Block, Bangalore",https://www.zomato.com/bangalore/the-reservoire-koramangala-5th-block/info
12,The 13th Floor,4.4,"North Indian, Asian, Kebab, Chinese, Salad, Beverages, Desserts","₹2,500 for two"," Barton Centre, Bangalore",https://www.zomato.com/bangalore/the-13th-floor-mg-road-bangalore/info
13,Sky Garden,4.3,"Chinese, Salad, North Indian, Continental, Asian, Burger, Pizza, Pasta","₹1,700 for two"," Whitefield, Bangalore",https://www.zomato.com/bangalore/sky-garden-whitefield-bangalore/info
14,Gawky Goose,4.5,"Italian, South Indian, North Indian, Chinese, Seafood, Beverages, Desserts","₹1,800 for two"," Old Airport Road, Bangalore",https://www.zomato.com/bangalore/gawky-goose-airport-road-bangalore/info
15,Terrace By House Of Commons,4.5,"Modern Indian, Continental, Asian, Chinese, North Indian, Seafood, Pizza, Pasta","₹1,400 for two"," JP Nagar, Bangalore",https://www.zomato.com/bangalore/terrace-by-house-of-commons-jp-nagar-bangalore/info
16,Lono,4.2,"Continental, Modern Indian, Italian, Fast Food, Seafood, Beverages, Desserts","₹1,700 for two"," Indiranagar, Bangalore",https://www.zomato.com/bangalore/lono-indiranagar-bangalore/info
17,Jamming Goat 3.0,4.4,"North Indian, Chinese, Continental","₹2,500 for two"," JP Nagar, Bangalore",https://www.zomato.com/bangalore/jamming-goat-3-0-jp-nagar-bangalore/info
18,Oyster Bar & Kitchen,4.5,"Bar Food, Chinese, North Indian, Seafood, Asian, Burger, Italian, Sichuan","₹1,600 for two"," HSR, Bangalore",https://www.zomato.com/bangalore/oyster-bar-kitchen-hsr-bangalore/info
19,Khmer Kitchen,4.6,"Asian, Sushi, Desserts, Beverages","₹2,500 for two"," JP Nagar, Bangalore",https://www.zomato.com/bangalore/khmer-kitchen-jp-nagar-bangalore/info
20,21st Amendment Gastrobar,4.3,"North Indian, Continental, Chinese, Bar Food, Sichuan, Beverages","₹1,700 for two"," Indiranagar, Bangalore",https://www.zomato.com/bangalore/21st-amendment-gastrobar-indiranagar-bangalore/info
21,Sashay-Taproom Kitchen,4.9,"Asian, Modern Indian, Continental, Sushi, North Indian, Chinese, Desserts, Beverages","₹2,000 for two"," Whitefield, Bangalore",https://www.zomato.com/bangalore/sashay-taproom-kitchen-whitefield-bangalore/info
22,Zodiac Bar & Kitchen,4.4,"Continental, North Indian, Fast Food, Pasta, Desserts","₹1,800 for two"," Brookefield, Bangalore",https://www.zomato.com/bangalore/zodiac-bar-kitchen-brookefield-bangalore/info
23,1131 Bar + Kitchen By House Of Commons,4.5,"Finger Food, North Indian, Continental, Chinese, Italian, Asian, Beverages, Desserts","₹2,200 for two"," Indiranagar, Bangalore",https://www.zomato.com/bangalore/1131-bar-kitchen-by-house-of-commons-indiranagar-bangalore/info
24,House Of Commons,4.5,"Bar Food, Fast Food, North Indian, Continental, Seafood, Italian, Chinese, Desserts","₹1,200 for two"," HSR, Bangalore",https://www.zomato.com/bangalore/house-of-commons-hsr-bangalore/info
25,The Big Baadshaah,4.4,"Chinese, Continental, North Indian, Asian, Burger, Desserts, Beverages","₹1,400 for two"," Marathahalli, Bangalore",https://www.zomato.com/bangalore/the-big-baadshaah-marathahalli-bangalore/info
26,Raahi,4.4,"North Indian, Beverages, Desserts","₹2,500 for two"," St. Marks Road, Bangalore",https://www.zomato.com/bangalore/raahi-st-marks-road-bangalore/info
27,Yuki,4.5,"Asian, Japanese, Thai, Sushi, Chinese, Salad, Desserts","₹1,400 for two"," Koramangala 5th Block, Bangalore",https://www.zomato.com/bangalore/yuki-koramangala-5th-block-bangalore/info
28,Hashtag 88,4.4,"Salad, Chinese, Asian, North Indian, Fast Food, Biryani, Desserts","₹1,400 for two"," Marathahalli, Bangalore",https://www.zomato.com/bangalore/hashtag-88-marathahalli-bangalore/info
29,Nevermind - Bar & Social,4.2,"Bar Food, North Indian, Chinese, Continental, Desserts","₹1,800 for two"," Indiranagar, Bangalore",https://www.zomato.com/bangalore/nevermind-bar-social-indiranagar-bangalore/info
30,Bob's Bar,4.2,"South Indian, Biryani, Sandwich, Desserts, Bakery, Beverages","₹1,400 for two"," Indiranagar, Bangalore",https://www.zomato.com/bangalore/bobs-bar-1-indiranagar-bangalore/info
31,Taproom By Sherlock's,4.2,"North Indian, Chinese, Thai, Continental, Seafood, Pizza, Beverages","₹1,800 for two"," JP Nagar, Bangalore",https://www.zomato.com/bangalore/taproom-by-sherlocks-jp-nagar-bangalore/info
32,Bombay Borough,4.6,"North Indian, Modern Indian, South Indian, Biryani, Desserts, Beverages","₹2,000 for two"," Richmond Road, Bangalore",https://www.zomato.com/bangalore/bombay-borough-richmond-road-bangalore/info
33,Suzy Q By 1522,4.4,"North Indian, Seafood, Street Food, Fast Food, Asian, Chinese, Desserts, Beverages","₹2,000 for two"," Cunningham Road, Bangalore",https://www.zomato.com/bangalore/suzy-q-by-1522-cunningham-road-bangalore/info
34,Travellers Bungalow,4.3,"Middle Eastern, European, Pizza, Finger Food, Beverages","₹1,400 for two"," Indiranagar, Bangalore",https://www.zomato.com/bangalore/travellers-bungalow-1-indiranagar-bangalore/info
35,Mirage,4.3,"Asian, Chinese, Thai, Beverages, Desserts","₹1,900 for two"," 1 Sobha, Bangalore",https://www.zomato.com/bangalore/mirage-st-marks-road-bangalore/info
36,TBC- Sky Lounge,4.5,"Continental, Asian, Italian, North Indian","₹1,500 for two"," HSR, Bangalore",https://www.zomato.com/bangalore/tbc-sky-lounge-hsr-bangalore/info
37,RCB Bar & Cafe,4.5,"Continental, Fast Food, Pizza, Asian, North Indian, Beverages","₹2,000 for two"," 1 Sobha, Bangalore",https://www.zomato.com/bangalore/rcb-bar-cafe-st-marks-road-bangalore/info
38,The Big Barbeque,4.4,"Chinese, North Indian, BBQ, Biryani, Italian, Salad, Street Food, Ice Cream","₹1,800 for two"," Marathahalli, Bangalore",https://www.zomato.com/bangalore/the-big-barbeque-marathahalli-bangalore/info
39,Hitchki,4.5,"North Indian, Chinese, Continental, Biryani, Finger Food, Bar Food, Desserts, Beverages","₹1,500 for two"," Phoenix Marketcity Bangalore, Whitefield, Bangalore",https://www.zomato.com/bangalore/hitchki-kr-puram-bangalore/info
40,Fenny's Lounge And Kitchen,4.5,"Mediterranean, Continental, Italian, Desserts, Beverages","₹1,900 for two"," Koramangala 7th Block, Bangalore",https://www.zomato.com/bangalore/fennys-lounge-and-kitchen-koramangala-7th-block/info
41,Prequel,4.3,"North Indian, Continental, Asian, Italian, Pizza, Sushi, Burger, Desserts","₹1,300 for two"," Hebbal, Bangalore",https://www.zomato.com/bangalore/prequel-3-hebbal-bangalore/info
42,Hard Rock Cafe,4.6,"American, Continental, Burger, Sandwich, Fast Food, Desserts, Beverages","₹2,500 for two"," St. Marks Road, Bangalore",https://www.zomato.com/bangalore/hard-rock-cafe-st-marks-road/info
43,Just BLR,4.4,"Continental, North Indian, Italian, Beverages","₹2,500 for two"," Brigade Road, Bangalore",https://www.zomato.com/bangalore/just-blr-1-brigade-road-bangalore/info
44,Sarjapur Social,4.4,"North Indian, Chinese, Biryani, Pasta, Burger, Pizza, Kebab","₹1,800 for two"," Sarjapur Road, Bangalore",https://www.zomato.com/SarjapurSocial/info
45,Inanna Tap Room,4.3,"Continental, North Indian, Italian, Asian, Finger Food, Beverages, Desserts","₹2,000 for two"," Bannerghatta Road, Bangalore",https://www.zomato.com/bangalore/inanna-tap-room-bannerghatta-road-bangalore/info
46,Flyover Drinkery,4.5,"Bar Food, South Indian, Beverages","₹1,800 for two"," Esteem Mall, Hebbal, Bangalore",https://www.zomato.com/bangalore/flyover-drinkery-hebbal-bangalore/info
47,Boho,4.1,"Continental, Asian, American, Mexican, Beverages, Desserts","₹2,000 for two"," Building 105, Koramangala 5th Block, Bangalore",https://www.zomato.com/bangalore/boho-koramangala-5th-block/info
48,The Big Bang Sky Deck And Lounge,4.4,"Asian, Seafood, North Indian, Chinese, Mughlai, Sichuan, Pizza, Pasta","₹3,000 for two"," Whitefield, Bangalore",https://www.zomato.com/bangalore/the-big-bang-sky-deck-and-lounge-whitefield-bangalore/info
49,Hakuna Matata,4.5,"North Indian, Asian, Seafood, Chinese, Sichuan, Fast Food, Desserts, Beverages","₹1,700 for two"," JP Nagar, Bangalore",https://www.zomato.com/bangalore/hakuna-matata-jp-nagar/info
50,Bombay Adda,4.2,"Continental, North Indian, Asian, Pizza, Fast Food, Desserts, Beverages","₹2,000 for two"," Koramangala 7th Block, Bangalore",https://www.zomato.com/bangalore/bombay-adda-koramangala-7th-block-bangalore/info
51,Lucky Chan - Dimsum & Sushi Parlour,4.6,"Japanese, Chinese, Beverages, Desserts","₹1,900 for two"," Indiranagar, Bangalore",https://www.zomato.com/bangalore/lucky-chan-dimsum-sushi-parlour-indiranagar-bangalore/info
52,Zodak Pub And Brew House,4.6,"Finger Food, North Indian, Continental, Pizza, Italian, Beverages","₹1,900 for two"," Whitefield, Bangalore",https://www.zomato.com/bangalore/zodak-pub-and-brew-house-whitefield-bangalore/info
53,Hungry Hippie,4.2,"North Indian, Italian, Continental, Mexican, Pizza, Fast Food, Desserts, Beverages","₹1,200 for two"," Koramangala 5th Block, Bangalore",https://www.zomato.com/bangalore/hungry-hippie-koramangala-5th-block/info
54,Dino'S Barbecue And  Grill,4.4,"Chinese, North Indian, Asian, Mughlai, Seafood, Pizza, Pasta, Burger","₹1,700 for two"," Whitefield, Bangalore",https://www.zomato.com/bangalore/dinos-barbecue-and-grill-whitefield-bangalore/info
55,Boteco Restaurante Brasileiro,4.3,"Brazilian, Steak, Salad, Finger Food, Desserts, Beverages","₹3,000 for two"," MG Road, Bangalore",https://www.zomato.com/bangalore/boteco-restaurante-brasileiro-1-mg-road-bangalore/info
56,Fat Owl,4.2,"North Indian, Salad, Fast Food, Chinese, Seafood, Pizza, Italian, Bar Food","₹1,800 for two"," JP Nagar, Bangalore",https://www.zomato.com/bangalore/fat-owl-jp-nagar-bangalore/info
57,The Fixx,4.2,"Salad, Continental, Chinese, North Indian, Mexican, Pizza, Beverages","₹1,400 for two"," Koramangala 4th Block, Bangalore",https://www.zomato.com/bangalore/the-fixx-1-koramangala-4th-block-bangalore/info
58,The Fisherman's Wharf,4.2,"North Indian, Continental, Seafood, Goan, Asian, Beverages, Desserts","₹1,900 for two"," Sarjapur Road, Bangalore",https://www.zomato.com/bangalore/the-fishermans-wharf-sarjapur-road/info
59,Stories Bar & Kitchen,4.3,"Bar Food, Chinese, Oriental, North Indian, Italian, Pizza, BBQ, Desserts","₹1,800 for two"," Rajajinagar, Bangalore",https://www.zomato.com/bangalore/stories-bar-kitchen-rajajinagar-bangalore/info
60,Gustoes Beer And Bouffage,4.5,"North Indian, Chinese, Continental, South Indian, Fast Food, Italian, BBQ, Beverages","₹1,800 for two"," Jayanagar, Bangalore",https://www.zomato.com/bangalore/gustoes-beer-and-bouffage-jayanagar-bangalore/info
61,Jook Taproom,4.3,"North Indian, South Indian, Chinese, Biryani, Fast Food, Bar Food, Desserts","₹1,600 for two"," Indiranagar, Bangalore",https://www.zomato.com/bangalore/jook-taproom-indiranagar-bangalore/info
62,Drunken Daddy,4.3,"North Indian, Continental, Fast Food, Oriental, Finger Food, Beverages",₹950 for two," Koramangala 5th Block, Bangalore",https://www.zomato.com/bangalore/drunken-daddy-koramangala-5th-block-bangalore/info
63,Bombay Brasserie,4.5,"Modern Indian, Bar Food, Beverages","₹2,000 for two"," Indiranagar, Bangalore",https://www.zomato.com/bangalore/bombay-brasserie-indiranagar/info
64,Sugar Factory Reloaded,3.9,"North Indian, Continental, Italian, Chinese, Asian, American","₹1,800 for two"," Koramangala 5th Block, Bangalore",https://www.zomato.com/bangalore/sugar-factory-reloaded-koramangala-5th-block-bangalore/info
65,Olive Bar & Kitchen,4.5,"Italian, Pizza, Mediterranean, Continental, European, Beverages, Desserts","₹3,500 for two"," Richmond Road, Bangalore",https://www.zomato.com/bangalore/olive-bar-kitchen-richmond-road-bangalore/info
66,Chapter One Bar | Maiin,4.3,"North Indian, South Indian, Chinese, Italian, Fast Food, Finger Food, Desserts, Beverages","₹1,400 for two"," New BEL Road, Bangalore",https://www.zomato.com/bangalore/chapter-one-bar-maiin-new-bel-road-bangalore/info
67,Bhola & Blonde,4.2,"North Indian, Lucknowi, Mughlai, Biryani, Fast Food, Desserts","₹1,900 for two"," Indiranagar, Bangalore",https://www.zomato.com/bangalore/bhola-blonde-indiranagar-bangalore/info
68,Badmaash,4.2,"Bar Food, North Indian, Italian, Mughlai, Desserts","₹2,500 for two"," Koramangala 5th Block, Bangalore",https://www.zomato.com/bangalore/badmaash-koramangala-5th-block-bangalore/info
69,Brassa,4.6,"Mexican, Japanese, Mediterranean, Italian, Lebanese, Tea, Coffee, Desserts","₹1,800 for two"," St. Marks Road, Bangalore",https://www.zomato.com/bangalore/brassa-st-marks-road-bangalore/info
70,Farzi Cafe,4.3,"Modern Indian, Continental, Healthy Food, Beverages, Desserts","₹1,900 for two"," UB City, Bangalore",https://www.zomato.com/bangalore/farzi-cafe-lavelle-road/info
71,The Black Pearl,4.4,"North Indian, Chinese, Fast Food, Street Food, Mughlai, Desserts, Beverages","₹1,800 for two"," Kadubeesanahalli, Bangalore",https://www.zomato.com/bangalore/the-black-pearl-kadubeesanahalli-bangalore/info
72,Chin Lung Resto Bar,4.1,"Bar Food, Chinese, North Indian","₹1,400 for two"," Koramangala 4th Block, Bangalore",https://www.zomato.com/bangalore/chin-lung-resto-bar-koramangala-4th-block-bangalore/info
73,The Groot,4.1,"Continental, Italian, North Indian, Chinese, Desserts, Beverages","₹1,600 for two"," Forum Shantiniketan Mall, Whitefield, Bangalore",https://www.zomato.com/bangalore/the-groot-whitefield-bangalore/info
74,1 BHK - Bar House Kitchen,4.4,"Continental, Italian, Pizza, Sandwich, Desserts, Shake, Beverages","₹1,400 for two"," Koramangala 6th Block, Bangalore",https://www.zomato.com/bangalore/1-bhk-bar-house-kitchen-1-koramangala-6th-block-bangalore/info
75,Skyline Rooftop Bar & Kitchen,4.4,"Chinese, Italian, Fast Food, North Indian, Kebab, Biryani, Continental, Beverages","₹1,800 for two"," Marathahalli, Bangalore",https://www.zomato.com/bangalore/skyline-rooftop-bar-kitchen-marathahalli-bangalore/info
76,Hammered,4.2,"North Indian, Bar Food, Chinese, Beverages, Desserts","₹2,000 for two"," HSR, Bangalore",https://www.zomato.com/bangalore/hammered-hsr-bangalore/info
77,Yellow Door - The Neighbourhood Kitchen,New,"North Indian, Asian, Italian, Fast Food","₹1,100 for two"," Koramangala 5th Block, Bangalore",https://www.zomato.com/bangalore/yellow-door-the-neighbourhood-kitchen-1-koramangala-5th-block-bangalore/info
78,Pasta Street,4.8,"Pasta, Pizza, Italian, European, Salad, Desserts, Beverages","₹1,800 for two"," ITPL Main Road, Whitefield, Bangalore",https://www.zomato.com/bangalore/pasta-street-itpl-main-road-whitefield-bangalore/info
79,Secret Of Bangalore,4.3,"North Indian, South Indian, Continental, Asian, Pizza, Pasta, Desserts, Beverages","₹1,600 for two"," Rajarajeshwari Nagar, Bangalore",https://www.zomato.com/bangalore/secret-of-bangalore-rajarajeshwari-nagar-bangalore/info
80,Ishaara,4.5,"North Indian, Street Food, Kebab, Rolls, Desserts, Beverages","₹3,000 for two"," Phoenix Marketcity Bangalore, Whitefield, Bangalore",https://www.zomato.com/bangalore/ishaara-kr-puram-bangalore/info
81,Tiger Trail - Royal Orchid Hotel,4.4,"North Indian, Mughlai, Kebab, Desserts","₹2,200 for two"," Royal Orchid Hotel,  Old Airport Road, Bangalore",https://www.zomato.com/bangalore/tiger-trail-royal-orchid-hotel-airport-road-bangalore/info
82,Otto's,4.4,"Bar Food, Chinese, North Indian, Continental, South Indian, Andhra, Asian, Desserts","₹2,000 for two"," Marathahalli, Bangalore",https://www.zomato.com/bangalore/ottos-marathahalli-bangalore/info
83,Kuuraku,4.5,"Japanese, Rolls, Beverages",₹600 for two," Forum Rex Walk, Bangalore",https://www.zomato.com/bangalore/kuuraku-brigade-road-bangalore/info
84,Xochi Bar And Kitchen,4.6,"North Indian, Chinese, Mughlai, Asian, BBQ, Biryani, Fast Food","₹2,500 for two"," Bellandur, Bangalore",https://www.zomato.com/bangalore/xochi-bar-and-kitchen-bellandur-bangalore/info
85,Fire Station,4.2,"Finger Food, North Indian, Continental, Italian, Chinese, Beverages, Desserts","₹1,700 for two"," Electronic City, Bangalore",https://www.zomato.com/bangalore/fire-station-electronic-city-bangalore/info
86,Tree Tops Bar & Kitchen,4.2,"Chinese, North Indian, Kebab, Pasta, Burger, Fast Food, Seafood, Desserts",₹950 for two," Hotel Southern Star, Lavelle Road, Bangalore",https://www.zomato.com/bangalore/tree-tops-bar-kitchen-lavelle-road-bangalore/info
87,Three Dots & A Dash,4.3,"Bar Food, Italian, North Indian, Continental, Pasta, Desserts","₹1,800 for two"," JP Nagar, Bangalore",https://www.zomato.com/bangalore/three-dots-a-dash-jp-nagar/info
88,K-OS TheGameBar,4.4,"Continental, Italian, North Indian, Beverages","₹1,700 for two"," Koramangala 7th Block, Bangalore",https://www.zomato.com/bangalore/k-os-thegamebar-koramangala-7th-block-bangalore/info
89,Foxtrot,4.2,"Continental, Thai, North Indian, Mughlai, Biryani, Beverages, Desserts","₹1,900 for two"," Marathahalli, Bangalore",https://www.zomato.com/bangalore/foxtrot-marathahalli-bangalore/info
90,Watson's,4.0,"North Indian, Continental, Italian, European, Asian, Beverages, Desserts","₹1,600 for two"," Indiranagar, Bangalore",https://www.zomato.com/bangalore/watsons-indiranagar-bangalore/info
91,Chavadi,4.4,"Continental, Mangalorean, Italian, South Indian, North Indian, Seafood, Beverages, Desserts","₹1,700 for two"," Bannerghatta Road, Bangalore",https://www.zomato.com/bangalore/chavadi-bannerghatta-road/info
92,Babylonia - Global Food & Cocktails,New,"Continental, North Indian, Asian, Italian, Mughlai, Mediterranean, Bar Food, Desserts","₹1,500 for two"," Koramangala 7th Block, Bangalore",https://www.zomato.com/bangalore/babylonia-global-food-cocktails-koramangala-7th-block-bangalore/info
93,Geometry Gastropub,4.2,"Chinese, North Indian, Italian, Continental, Beverages","₹1,700 for two"," Malleshwaram, Bangalore",https://www.zomato.com/bangalore/geometry-gastropub-malleshwaram-bangalore/info
94,And It Was Called Yellow,4.7,"North Indian, Salad, Street Food, Andhra, Mughlai, Beverages",₹950 for two," Sahakara Nagar, Bangalore",https://www.zomato.com/bangalore/and-it-was-called-yellow-1-sahakara-nagar-bangalore/info
95,1522 - The Pub,4.3,"Chinese, North Indian, Mughlai, Finger Food, Seafood","₹1,800 for two"," JP Nagar, Bangalore",https://www.zomato.com/bangalore/1522-the-pub-jp-nagar-bangalore/info
96,Tipsy Bull - The Bar Exchange,4.4,"Finger Food, North Indian, Continental, Fast Food, Naga, Desserts","₹1,200 for two"," JP Nagar, Bangalore",https://www.zomato.com/bangalore/tipsy-bull-the-bar-exchange-jp-nagar-bangalore/info
97,SkyDeck By Sherlock's,4.0,"Continental, Chinese, Finger Food, North Indian, Fast Food, Beverages, Desserts","₹1,800 for two"," MG Road, Bangalore",https://www.zomato.com/bangalore/skydeck-by-sherlocks-mg-road-bangalore/info
98,Salt - Indian Restaurant Bar & Grill,4.6,"North Indian, BBQ, Biryani, Mughlai, Fast Food, Beverages, Desserts","₹1,800 for two"," Nexus, Koramangala, Bangalore",https://www.zomato.com/bangalore/salt-indian-restaurant-bar-grill-koramangala-7th-block-bangalore/info
99,The Boozy Griffin,4.5,"Continental, Italian, Asian, Chinese, North Indian, Desserts","₹1,900 for two"," Kadubeesanahalli, Bangalore",https://www.zomato.com/bangalore/the-boozy-griffin-kadubeesanahalli-bangalore/info
100,Ambrosia,4.5,"Italian, Mexican, Continental, Asian, Mediterranean, Desserts, Beverages, Juices","₹1,800 for two"," Rajarajeshwari Nagar, Bangalore",https://www.zomato.com/bangalore/ambrosia-rajarajeshwari-nagar/info
101,Adda 1522,4.4,"Fast Food, South Indian, Seafood, North Indian, Kebab, Mughlai, Asian, European","₹1,500 for two"," Ulsoor, Bangalore",https://www.zomato.com/bangalore/adda-1522-ulsoor-bangalore/info
102,Gilly's Resto Bar,4.4,"North Indian, Chinese, Bar Food, Continental, Beverages","₹1,700 for two"," Marathahalli, Bangalore",https://www.zomato.com/bangalore/gillys-resto-bar-marathahalli-bangalore/info
103,Layla - The Den Bengaluru,4.2,"Mediterranean, Beverages","₹2,500 for two"," The Den, Whitefield, Bangalore",https://www.zomato.com/bangalore/layla-the-den-bengaluru-whitefield-bangalore/info
104,Sidewalk Bar & Kitchen,4.4,"North Indian, Continental, Chinese, Fast Food, Beverages","₹1,800 for two"," Marathahalli, Bangalore",https://www.zomato.com/bangalore/sidewalk-bar-kitchen-marathahalli-bangalore/info
105,Hightide Restobar,4.4,"North Indian, Chinese, Italian, Asian, Mughlai, Desserts, Beverages","₹1,600 for two"," Bannerghatta Road, Bangalore",https://www.zomato.com/bangalore/hightide-restobar-bannerghatta-road-bangalore/info
106,CANTAN - Chinese Bar House,4.5,"Asian, Chinese, Japanese, Salad, Rolls, Seafood, Beverages, Desserts","₹2,000 for two"," Lavelle Road, Bangalore",https://www.zomato.com/bangalore/cantan-chinese-bar-house-lavelle-road-bangalore/info
107,Limitless Bar & Kitchen,4.4,"North Indian, Continental, Chinese, Finger Food, Mughlai, Biryani, Beverages","₹1,700 for two"," Kalyan Nagar, Bangalore",https://www.zomato.com/bangalore/limitless-bar-kitchen-kalyan-nagar-bangalore/info
108,Oh! Calcutta,4.4,"Bengali, North Indian, Seafood, Biryani","₹1,800 for two"," Church Street, Bangalore",https://www.zomato.com/bangalore/oh-calcutta-church-street-bangalore/info
109,Acre Bengaluru,4.2,"Finger Food, North Indian, Asian, Chinese, Pizza, Continental, Seafood, Mughlai","₹2,000 for two"," International Airport, Bangalore",https://www.zomato.com/bangalore/acre-bengaluru-1-international-airport-bangalore/info
110,Bangalore Adda,4.2,"Cafe, Continental, Italian, Salad, North Indian, Chinese, Biryani, Beverages","₹1,200 for two"," New BEL Road, Bangalore",https://www.zomato.com/bangalore/bangalore-adda-1-new-bel-road-bangalore/info
111,The Bengaluru Brasserie - Hyatt Centric MG Road,4.4,"Continental, Asian, North Indian, South Indian, Fast Food, Desserts","₹2,500 for two"," Hyatt Centric, MG Road, Bangalore",https://www.zomato.com/bangalore/the-bengaluru-brasserie-hyatt-centric-mg-road-mg-road-bangalore/info
112,The Irish House,4.0,"European, American, Italian, BBQ, Beverages, Desserts","₹2,000 for two"," RMZ Ecoworld, Bellandur, Bangalore",https://www.zomato.com/bangalore/the-irish-house-bellandur/info
113,Mainland China,4.4,"Chinese, Asian, Sushi, Momos, Japanese, Thai, Beverages","₹2,000 for two"," Church Street, Bangalore",https://www.zomato.com/bangalore/mainland-china-church-street/info
114,Easy Tiger,4.2,"Finger Food, Continental","₹1,200 for two"," Church Street, Bangalore",https://www.zomato.com/bangalore/easy-tiger-church-street/info
115,Casinova Pub And Kitchen,4.2,"Bar Food, Italian, North Indian, Continental, BBQ, Asian","₹2,000 for two"," Koramangala 5th Block, Bangalore",https://www.zomato.com/bangalore/casinova-pub-and-kitchen-koramangala-5th-block-bangalore/info
116,Taki Taki,4.2,"Asian, Japanese, Seafood, Momos, BBQ, Desserts","₹2,500 for two"," Seshadripuram, Bangalore",https://www.zomato.com/bangalore/taki-taki-seshadripuram-bangalore/info
117,The Studs - Sports Bar And Grill,4.3,"Finger Food, Bar Food, Continental, North Indian, Chinese, Desserts","₹1,200 for two"," JP Nagar, Bangalore",https://www.zomato.com/bangalore/the-studs-sports-bar-and-grill-jp-nagar-bangalore/info
118,LIT Gastro Pub,4.0,"North Indian, Chinese, Continental, Bar Food, Mughlai, Fast Food","₹1,800 for two"," Church Street, Bangalore",https://www.zomato.com/bangalore/lit-gastro-pub-church-street-bangalore/info
119,Chianti,4.5,"Italian, Pizza, Pasta, Desserts, Beverages","₹2,500 for two"," Hebbal, Bangalore",https://www.zomato.com/bangalore/chianti-hebbal-bangalore/info
120,Ebony,4.3,"North Indian, Biryani, South Indian, Thai, Seafood, Beverages, Desserts","₹1,900 for two"," Barton Centre, Bangalore",https://www.zomato.com/bangalore/ebony-mg-road/info
121,Chili's American Grill & Bar,4.3,"American, Mexican, Burger, Tex-Mex, Desserts, Beverages","₹1,800 for two"," Orion Mall, Malleshwaram, Bangalore",https://www.zomato.com/bangalore/chilis-american-grill-bar-rajajinagar-bangalore/info
122,La Casa Brews + Kitchen,4.4,"Continental, North Indian, Mughlai, Chinese, Finger Food, Steak, Beverages, Desserts","₹2,000 for two"," New BEL Road, Bangalore",https://www.zomato.com/bangalore/la-casa-brews-kitchen-new-bel-road-bangalore/info
123,Altitude Kitchen & Bar,4.3,"Chinese, Seafood, North Indian, Kebab, Pizza, Finger Food, Biryani, Desserts","₹1,800 for two"," Basaveshwara Nagar, Bangalore",https://www.zomato.com/bangalore/altitude-kitchen-bar-basaveshwara-nagar-bangalore/info
124,Record Room,4.5,"Seafood, Brazilian, Finger Food, Beverages, Desserts","₹2,500 for two"," MG Road, Bangalore",https://www.zomato.com/bangalore/record-room-mg-road-bangalore/info
125,Elysium By Stories,New,"South Indian, North Indian, Fast Food","₹1,000 for two"," Sarjapur Road, Bangalore",https://www.zomato.com/bangalore/elysium-by-stories-sarjapur-road-bangalore/info
