,names,rating,cuisine types,price,location,url
379,South Parade - The Chancery Hotel,3.8,"North Indian, Asian, South Indian, Italian, Chinese, Fast Food, Desserts, Beverages","₹1,400 for two"," The Chancery Hotel, Lavelle Road, Bangalore",https://www.zomato.com/bangalore/south-parade-the-chancery-hotel-lavelle-road-bangalore/info
380,Bhagini,3.4,"Andhra, South Indian, Chinese, North Indian, Mughlai, Seafood, Beverages","₹1,200 for two"," Banaswadi, Bangalore",https://www.zomato.com/bangalore/bhagini-banaswadi/info
381,The Onyx - The HHI Select Bengaluru,3.8,"North Indian, Chinese, Continental, Salad, Seafood, Mughlai, Italian, Desserts",₹800 for two," JP Nagar, Bangalore",https://www.zomato.com/bangalore/the-onyx-the-hhi-select-bengaluru-jp-nagar-bangalore/info
382,Darbar,3.7,"North Indian, Chinese, Mughlai, Seafood, Desserts",₹950 for two," Banashankari, Bangalore",https://www.zomato.com/bangalore/darbar-banashankari/info
383,Kalinga Bar,4.2,Bar Food,"₹1,200 for two"," Majestic, Bangalore",https://www.zomato.com/bangalore/kalinga-bar-majestic-bangalore/info
384,Ezone Lagoon Resort,3.9,"North Indian, South Indian, Continental","₹1,200 for two"," Marathahalli, Bangalore",https://www.zomato.com/bangalore/ezone-lagoon-resort-marathahalli-bangalore/info
385,Strona - The Fern Residency,4.0,"Andhra, Finger Food","₹1,600 for two"," The Fern Residency, Bangalore",https://www.zomato.com/bangalore/strona-the-fern-residency-yeshwantpur-bangalore/info
386,Sutra Spice-Resto Bar,4.3,"North Indian, Chinese, Biryani","₹1,600 for two"," Koramangala 4th Block, Bangalore",https://www.zomato.com/bangalore/sutra-spice-resto-bar-koramangala-4th-block-bangalore/info
387,Unicorn Bar & Restaurant,4.2,"Seafood, North Indian, Chinese",₹950 for two," Infantry Road, Bangalore",https://www.zomato.com/bangalore/unicorn-bar-restaurant-infantry-road-bangalore/info
388,The History Pub,3.9,"North Indian, Mughlai, Fast Food, Chinese, Bar Food, Desserts, Beverages",₹950 for two," Nagarbhavi, Bangalore",https://www.zomato.com/bangalore/the-history-pub-nagarbhavi-bangalore/info
